No.,Latin name (previous version),name change,Genus,species,Genus_species,notes about information,Common Name,Nest shape,Location/Position,Nest Size,Exposure,jpd exposure,jmai exposure,old exposure,nathanvs. old,nathanv.jpd,jpdvs.old,icterus all three,Dichromatic,Total Delta S (Price & Eaton 2014),Egg Incubation,Brooding,Feeding,Sexual Behavior,Misc.,Citations
47,Sturnella neglecta,,Sturnella,neglecta,Sturnella_neglecta,,Western Meadowlark ,"ground nest, semi-domed with grasses (varies) ","""Outside diameter 18–21 cm; inside diameter 10–13 cm; inside depth 5–8 cm. Entrance tunnel, when present, 5–8 cm in diameter""",ground,0,0,,0,,,,,0,,Female,Female,mostly female,Polygynous,"Chest is bright yellow, the rest is cryptic browns and greys","Davis, Stephen K. and Wesley E. Lanyon. 2008. Western Meadowlark (Sturnella neglecta), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/104
doi:10.2173/bna.104"
48,Pseudoleistes guirahuro,,Pseudoleistes,guirahuro,Pseudoleistes_guirahuro,,Yellow-rumped Marshbird ,cuplike,"bulky,on the ground, cemented with mud",,1,1,,1,,,,,0,69.2,,,,,,"New World Blackbirds: Belton 1985 (nesting),De la Pena 1989 (nesting), Sick 1993 (nesting)"
49,Pseudoleistes virescens,,Pseudoleistes,virescens,Pseudoleistes_virescens,,Brown-and-yellow Marshbird ,"ground nest, dense cover",Located within dense pampas grass,,0,0,,0,,,,,0,40.5,Female,Female,"""Helpers"" help feed the chick… very interesting.",Monogamous,,"New World Blackbirds: Belton 1985 (behavior), Mermoz and Reboreda 1994 (behavior, nesting), Orians 1980 (behavior, nesting), Orians et al. 1977b (behavior,nesting)"
50,Amblyramphus holosericeus,,Amblyramphus,holosericeus,Amblyramphus_holosericeus,,Scarlet-headed Blackbird ,cup,1.5 m from surface of water,,1,1,,1,,,,,0,52.5,Female,Female (Both?),Both,Monogamous,"when one is foraging, the other stays near the nest","New World Blackbirds: Belton 1985 (nesting),  De la Pena 1987 (nesting), Orians 1980 (behavior, nesting)"
51,Hypopyrrhus pyrohypogaster,,Hypopyrrhus,pyrohypogaster,Hypopyrrhus_pyrohypogaster,,Red-bellied Grackle ,cup,trees,bulky,1,1,,1,,,,,0,,,,,Cooperative Nesting,,"New World Blackbirds: Chapman 1917 (habitat, behavior),Collar et al. 1992 (habitat, behavior, nesting), Ridgely and Tudor 1989 (behavio), Sclater and Salvin 1879 (nesting)"
52,Curaeus curaeus,,Curaeus,curaeus,Curaeus_curaeus,,Austral Blackbird ,cup,trees with dense foliage,,1,1,,1,,,,,0,193.3,,,,Monogamous,Potential cooperative nesting,"New World Blackbirds: De la Pena 1989 (nesting), Johnson and Goodall 1967 (behavior,nesting), Orians et al. 1977b (behavior)"
53,Curaeus forbesi,,Curaeus,forbesi,Curaeus_forbesi,,Forbes's Blackbird ,cup,crown of short tree,,1,1,,1,,,,,0,,Female,,"Both, helped by ""helper""","Pair bond, although there are helpers",,"New World Blackbirds: Forbes 1881 (behavior, distribution), Studer and Vielliard 1988 (voice, habitat, nesting, behavior), Willis and Oniki 1991 (voice, behavior)"
54,Gnorimopsar chopi,,Gnorimopsar,chopi,Gnorimopsar_chopi,,Chopi Blackbird ,cavity nest,tree cavities and other holes,,0,0,,0,,,,,0,28,,,,,"Very social, not sure who makes nest, or any of that good jazz","New WorldBlackbirds: Sick 1993 (behavior, nesting), Wetmore 1926 (nesting)"
55,Oreopsar bolivianus,,Oreopsar,bolivianus,Oreopsar_bolivianus,"NA- There is good data on these nests. They are open cup, but located in cliff cavities. Thus, I'm not sure if it should be a 1 or a 0. Maybe it would be good to do both with this one.",Bolivian Blackbird ,"open cup, cliff nest","tucked into crevices, nests molded to fit crevice",,0/1,?,,0/1,,x,x,,0,25.6,Female,,"Both, helpers come to the nest to bring food",,,"New World Blackbirds: Orians et al. 1977a (behavior, nesting), Vuilleumier 1969 (behavior)"
56,Lampropsar tanagrinus,,Lampropsar,tanagrinus,Lampropsar_tanagrinus,,Velvet-fronted Grackle ,hanging basket,woven into leaves of palm,,1,0,,0,x,x,,,0,30.4,,,,,"Not much has been observed,even the nesting is sketchy",New World Blackbirds.
57,Macroagelaius imthurni,,Macroagelaius,imthurni,Macroagelaius_imthurni,,Tepui Mountain Grackle (Golden-tufted Grackle),cup,"In trees, ",30cm diamater,1,1,,1,,,,,0,29,,,,,"Not much has been observed,even the nesting is sketchy",New World Blackbirds.
